,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
DN_HistogramMode_5,1.0,0.3504220315582272,-0.1279159168920445,-0.002604547399955002,0.12799946848417024,-0.05120157919347373,-0.06564505475663598,0.19247571046937537,0.6297113635027659,-0.037138809242788125,0.05290853874575251,0.005212246405365002,0.11976947817443047,-0.6187588293472843,-0.586373211409133,0.24160614380028936,0.33063439667135847,-0.5545437606894499,-0.2258887763177982,0.5167727108383072,0.11924444820959504,-0.08414936998209728
DN_HistogramMode_10,0.3504220315582272,1.0,-0.6951225213150072,-0.48835435928371035,-0.7344252870701652,0.39258850583392174,0.8702455654029165,-0.6362104512645685,-0.436093717811953,-0.6748388144375865,0.35677553183511473,-0.434850610306832,0.8213985512835891,-0.19521821647851342,-0.4861186957964953,-0.5111825072393534,0.021941982793384437,0.49712082630698845,-0.061431489499478444,0.02718572755637281,0.7593469966918863,0.5807201116507139
CO_f1ecac,-0.1279159168920445,-0.6951225213150072,1.0,-0.09576075951256591,0.6818092772292609,0.004298154434940558,-0.6528964654709762,0.4596634284281693,0.24187571391421547,0.33810715437443817,0.3800382123162643,-0.15560914132620432,-0.8170345993673732,0.37690116824181097,0.4354847109840801,0.7692171288737439,0.17497084102815977,-0.6500673374651396,-0.17766473754309486,0.1428475703935192,-0.9238561422368368,-0.9014361629401407
CO_FirstMin_ac,-0.002604547399955002,-0.48835435928371035,-0.09576075951256591,1.0,0.46082710344176564,-0.8356076693730821,-0.5367051201430616,0.6709207172214823,0.4010832929386166,0.7290628598373843,-0.8425224343302962,0.9969610470127057,-0.08547367141357227,-0.5673658680669411,0.14147169629629255,0.27397093922187843,0.011169176290219266,-0.2772771702491104,0.6209847037526387,0.44189025814797395,0.055335862718279526,-0.09938460875593315
CO_HistogramAMI_even_2_5,0.12799946848417024,-0.7344252870701652,0.6818092772292609,0.46082710344176564,1.0,-0.5021399270868316,-0.9468359987821053,0.836854986345188,0.6073887067585024,0.8588190748668049,-0.25999600258093297,0.3961667472704341,-0.8112000659142391,-0.23366818987720026,0.42320076967801024,0.8390342258854794,0.4944828547266484,-0.8531113660929786,0.3050285858705847,0.3243499458552109,-0.7841197212409909,-0.8077035360478508
CO_trev_1_num,-0.05120157919347373,0.39258850583392174,0.004298154434940558,-0.8356076693730821,-0.5021399270868316,1.0,0.4922627444080528,-0.8521203804028633,-0.27260903180331486,-0.8227224094198415,0.6616270853926871,-0.8154491647783744,0.033065797367866266,0.7359422739980569,-0.48190256742638377,-0.45479651559231465,-0.4676454539051775,0.30063754198337966,-0.7129849451029255,-0.5311466948902365,-0.014912224747493255,0.2977851253800367
MD_hrv_classic_pnn40,-0.06564505475663598,0.8702455654029165,-0.6528964654709762,-0.5367051201430616,-0.9468359987821053,0.4922627444080528,1.0,-0.8095417824904269,-0.7184109521868122,-0.8331220574782937,0.40599114926173185,-0.4751968241201861,0.8607002645480863,0.14935377095564795,-0.3536391846430573,-0.7004857519763166,-0.30420282149425387,0.8029873475331515,-0.1465995758259979,-0.18364884803336914,0.7854430922878496,0.6877144344369305
SB_BinaryStats_mean_longstretch1,0.19247571046937537,-0.6362104512645685,0.4596634284281693,0.6709207172214823,0.836854986345188,-0.8521203804028633,-0.8095417824904269,1.0,0.5410189890071794,0.9035654363583784,-0.4199194116102019,0.6214764542807811,-0.4715771543757575,-0.5665239676556365,0.5047919183354757,0.7999364320869312,0.5800961105507981,-0.7165845270292105,0.4624924557543823,0.5599048994391119,-0.46223364755768515,-0.7018298294926978
SB_TransitionMatrix_3ac_sumdiagcov,0.6297113635027659,-0.436093717811953,0.24187571391421547,0.4010832929386166,0.6073887067585024,-0.27260903180331486,-0.7184109521868122,0.5410189890071794,1.0,0.4524351500290894,-0.4124167147527887,0.3722935443573313,-0.5267941840566948,-0.383959536236783,-0.2930596420059809,0.3796657508508576,0.17443822695559566,-0.7895284017465919,-0.24101545528930582,0.22421282776483373,-0.40533976424114365,-0.2883270730457035
PD_PeriodicityWang_th0_01,-0.037138809242788125,-0.6748388144375865,0.33810715437443817,0.7290628598373843,0.8588190748668049,-0.8227224094198415,-0.8331220574782937,0.9035654363583784,0.4524351500290894,1.0,-0.611966851418337,0.676354601010842,-0.5379440722382468,-0.4747156412315498,0.5909285155158371,0.6313670427096812,0.549697620898171,-0.562151353185876,0.622417289311472,0.29401755569611226,-0.46338230493064525,-0.5462081621468655
CO_Embed2_Dist_tau_d_expfit_meandiff,0.05290853874575251,0.35677553183511473,0.3800382123162643,-0.8425224343302962,-0.25999600258093297,0.6616270853926871,0.40599114926173185,-0.4199194116102019,-0.4124167147527887,-0.611966851418337,1.0,-0.8422113409677836,0.044834490864043265,0.49210737257158554,-0.0659076998402649,0.13818796816282203,-0.003906314542951429,0.02391183274600265,-0.4478350645608345,0.023587063668856965,-0.1721828718370373,-0.2776733250698594
IN_AutoMutualInfoStats_40_gaussian_fmmi,0.005212246405365002,-0.434850610306832,-0.15560914132620432,0.9969610470127057,0.3961667472704341,-0.8154491647783744,-0.4751968241201861,0.6214764542807811,0.3722935443573313,0.676354601010842,-0.8422113409677836,1.0,-0.017663483335416213,-0.5730619536930442,0.08978655011611682,0.22172751316854752,-0.03553345272593497,-0.22878334398439562,0.6160983632987088,0.4482334681939003,0.1251873404834721,-0.03966468013664714
FC_LocalSimple_mean1_tauresrat,0.11976947817443047,0.8213985512835891,-0.8170345993673732,-0.08547367141357227,-0.8112000659142391,0.033065797367866266,0.8607002645480863,-0.4715771543757575,-0.5267941840566948,-0.5379440722382468,0.044834490864043265,-0.017663483335416213,1.0,-0.3136881446406495,-0.3524554447835795,-0.5662554430367236,-0.17823453525927183,0.6713057098133156,0.16861657108286018,0.17110882921226697,0.9675567633678347,0.6776820834181303
DN_OutlierInclude_p_001_mdrmd,-0.6187588293472843,-0.19521821647851342,0.37690116824181097,-0.5673658680669411,-0.23366818987720026,0.7359422739980569,0.14935377095564795,-0.5665239676556365,-0.383959536236783,-0.4747156412315498,0.49210737257158554,-0.5730619536930442,-0.3136881446406495,1.0,0.04928258503856523,-0.2612093253110735,-0.5642040642529184,0.31049716562974783,-0.5219610054369316,-0.6390989688714982,-0.3589145088266686,0.021472849466922225
DN_OutlierInclude_n_001_mdrmd,-0.586373211409133,-0.4861186957964953,0.4354847109840801,0.14147169629629255,0.42320076967801024,-0.48190256742638377,-0.3536391846430573,0.5047919183354757,-0.2930596420059809,0.5909285155158371,-0.0659076998402649,0.08978655011611682,-0.3524554447835795,0.04928258503856523,1.0,0.4049673067924637,0.5135304905559144,-0.010794754250629385,0.4918667701210671,-0.07467658225631457,-0.42546432241995263,-0.49530359705514676
SP_Summaries_welch_rect_area_5_1,0.24160614380028936,-0.5111825072393534,0.7692171288737439,0.27397093922187843,0.8390342258854794,-0.45479651559231465,-0.7004857519763166,0.7999364320869312,0.3796657508508576,0.6313670427096812,0.13818796816282203,0.22172751316854752,-0.5662554430367236,-0.2612093253110735,0.4049673067924637,1.0,0.5245193406588176,-0.8443101170286469,0.2813805130822765,0.6591632461280886,-0.6659825939192007,-0.9639083967591714
SB_BinaryStats_diff_longstretch0,0.33063439667135847,0.021941982793384437,0.17497084102815977,0.011169176290219266,0.4944828547266484,-0.4676454539051775,-0.30420282149425387,0.5800961105507981,0.17443822695559566,0.549697620898171,-0.003906314542951429,-0.03553345272593497,-0.17823453525927183,-0.5642040642529184,0.5135304905559144,0.5245193406588176,1.0,-0.4132815825911486,0.383414816616256,0.2628001654121234,-0.24771684715343137,-0.4694876648177907
SB_MotifThree_quantile_hh,-0.5545437606894499,0.49712082630698845,-0.6500673374651396,-0.2772771702491104,-0.8531113660929786,0.30063754198337966,0.8029873475331515,-0.7165845270292105,-0.7895284017465919,-0.562151353185876,0.02391183274600265,-0.22878334398439562,0.6713057098133156,0.31049716562974783,-0.010794754250629385,-0.8443101170286469,-0.4132815825911486,1.0,0.030403803442180456,-0.5219915225382177,0.6791279400433556,0.7820115396469274
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,-0.2258887763177982,-0.061431489499478444,-0.17766473754309486,0.6209847037526387,0.3050285858705847,-0.7129849451029255,-0.1465995758259979,0.4624924557543823,-0.24101545528930582,0.622417289311472,-0.4478350645608345,0.6160983632987088,0.16861657108286018,-0.5219610054369316,0.4918667701210671,0.2813805130822765,0.383414816616256,0.030403803442180456,1.0,0.4086398840538961,0.1875398681697043,-0.13914416139066182
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.5167727108383072,0.02718572755637281,0.1428475703935192,0.44189025814797395,0.3243499458552109,-0.5311466948902365,-0.18364884803336914,0.5599048994391119,0.22421282776483373,0.29401755569611226,0.023587063668856965,0.4482334681939003,0.17110882921226697,-0.6390989688714982,-0.07467658225631457,0.6591632461280886,0.2628001654121234,-0.5219915225382177,0.4086398840538961,1.0,0.08680003787638856,-0.4753831339746643
SP_Summaries_welch_rect_centroid,0.11924444820959504,0.7593469966918863,-0.9238561422368368,0.055335862718279526,-0.7841197212409909,-0.014912224747493255,0.7854430922878496,-0.46223364755768515,-0.40533976424114365,-0.46338230493064525,-0.1721828718370373,0.1251873404834721,0.9675567633678347,-0.3589145088266686,-0.42546432241995263,-0.6659825939192007,-0.24771684715343137,0.6791279400433556,0.1875398681697043,0.08680003787638856,1.0,0.7993408927023621
FC_LocalSimple_mean3_stderr,-0.08414936998209728,0.5807201116507139,-0.9014361629401407,-0.09938460875593315,-0.8077035360478508,0.2977851253800367,0.6877144344369305,-0.7018298294926978,-0.2883270730457035,-0.5462081621468655,-0.2776733250698594,-0.03966468013664714,0.6776820834181303,0.021472849466922225,-0.49530359705514676,-0.9639083967591714,-0.4694876648177907,0.7820115396469274,-0.13914416139066182,-0.4753831339746643,0.7993408927023621,1.0
