serie,transformacion,ADF,p_ADF,KPSS,p_KPSS,veredicto
S1_la_aurora,Nivel,-2.3697287957739936,0.15046311002678492,0.23091901436668236,0.1,"resultado mixto: KPSS dice estacionaria, ADF no"
S1_la_aurora,log,-2.032338149583783,0.27257636690232906,0.253712959081314,0.1,"resultado mixto: KPSS dice estacionaria, ADF no"
S1_la_aurora,log + d=1,-3.0947632156105422,0.02694316911957634,0.023977930194730983,0.1,estacionaria (ambas pruebas coinciden)
S1_la_aurora,log + D=1,-0.7581001321271605,0.8311211743170875,0.4896504001722479,0.04399765761886308,NO estacionaria (ambas pruebas coinciden)
S1_la_aurora,log + d=1 + D=1,-6.212517664968434,5.464024276894853e-08,0.032630626307282536,0.1,estacionaria (ambas pruebas coinciden)
S2_valle_nuevo,Nivel,-1.8318221931975658,0.36478118379723135,0.43149232863698167,0.06358089282888721,"resultado mixto: KPSS dice estacionaria, ADF no"
S2_valle_nuevo,log,-2.230958874706451,0.19520161752881743,0.22762386815476623,0.1,"resultado mixto: KPSS dice estacionaria, ADF no"
S2_valle_nuevo,log + d=1,-5.052598087392423,1.7445349408577192e-05,0.07668723676968796,0.1,estacionaria (ambas pruebas coinciden)
S2_valle_nuevo,log + D=1,-0.9159710501746994,0.7826674327279467,0.5715256972442266,0.025557275395444442,NO estacionaria (ambas pruebas coinciden)
S2_valle_nuevo,log + d=1 + D=1,-5.308553276780838,5.256635631009898e-06,0.0350144931228155,0.1,estacionaria (ambas pruebas coinciden)
S3_san_cristobal,Nivel,-1.3934204561961905,0.5854263381023903,0.6197468460220558,0.020841195816176748,NO estacionaria (ambas pruebas coinciden)
S3_san_cristobal,log,-2.0799098794846156,0.25266928977681946,0.1751790983435737,0.1,"resultado mixto: KPSS dice estacionaria, ADF no"
S3_san_cristobal,log + d=1,-0.38795628440894636,0.9120903092286967,0.08660519090500049,0.1,"resultado mixto: KPSS dice estacionaria, ADF no"
S3_san_cristobal,log + D=1,-0.2901370566497513,0.9268896508270185,0.5829463022531989,0.024186699795163736,NO estacionaria (ambas pruebas coinciden)
S3_san_cristobal,log + d=1 + D=1,-4.467048358365015,0.00022543031375987847,0.031732936737367254,0.1,estacionaria (ambas pruebas coinciden)
