serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S1_la_aurora,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,207.0270290668168,215.9364689655448,33049.417474794594,38249.07393218434,33.081138001020136,0.0744607696554532,0.0,True
S1_la_aurora,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,206.0726559672155,212.0122825663675,33467.501246755586,38659.13147845773,33.42113821302036,0.06131375034709849,0.0,False
S1_la_aurora,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,206.84739243817546,212.80085992301662,34250.38658509929,39443.895860539546,34.14410925316587,0.06058380779627621,0.0,False
S1_la_aurora,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,36821.786047759815,42053.31786869305,36.56306279620979,2.6193147614531563e-19,0.07299583779166467,False
S1_la_aurora,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,38903.90608415798,42886.686324522765,39.492142682729344,0.2645085554758339,0.0,False
S1_la_aurora,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,45973.05693049481,50962.92803636545,47.47482853783632,2.06857865508614e-79,8.507890528300065e-22,False
S1_la_aurora,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log,187.10721652293662,198.2571834940648,68210.15870489168,72421.31031108662,71.99348842744712,0.030189193970771678,0.0,False
S1_la_aurora,"auto_arima(1, 0, 1)x(1, 0, 1, 12)","{'orden': (1, 0, 1), 'orden_estacional': (1, 0, 1, 12), 'tendencia': None}",log,189.57422504425045,204.02597068535923,71902.88356728223,75900.74382907838,76.28927874821917,0.03174060181662704,0.0,False
S1_la_aurora,Seasonal Naive,{'rezago': 12},ninguna,,,75518.44036960739,79320.75972667034,81.47749325639356,2.292959091883028e-87,2.1702017039427562e-94,False
S2_valle_nuevo,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,16803.85136918256,23186.82186561063,157.64462957504745,2.563916267373761e-76,2.6215533771030536e-12,True
S2_valle_nuevo,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,35209.78099498713,38091.010105654364,85.4326865036248,0.8811793807407882,2.314697406019012e-56,False
S2_valle_nuevo,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,40769.915380137536,45662.777695940415,79.96628352256985,2.221986038838929e-10,0.00028932958317143205,False
