serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S0_total,Prophet,"{'estacionalidad_anual': True, 'modo_estacional': 'aditivo'}",ninguna,,,132304.357769672,139548.64320989547,60.88743410092474,8.627750708661812e-76,4.0843198126553085e-11,True
S0_total,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,92.36440459509622,101.2738444938242,154872.62480344114,169524.19014539607,59.30134441733116,0.0823872301990891,0.0,False
S0_total,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,165372.54140774175,180598.2335333725,62.90591307213194,2.6076109044549456e-14,5.208458217082098e-10,False
S0_total,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,176500.80090134896,189319.95942809267,69.17027062228186,0.7867057122445775,2.536071086302813e-286,False
S0_total,"auto_arima(2, 0, 0)x(1, 0, 1, 12)","{'orden': (2, 0, 0), 'orden_estacional': (1, 0, 1, 12), 'tendencia': None}",log,66.50456608805962,80.95631172916838,183941.8071702022,198149.81923976543,72.24644973246146,0.2767961274033447,0.0,False
S0_total,Seasonal Naive,{'rezago': 12},ninguna,,,207321.6373958207,219663.86935700072,84.91040612875624,9.062573905602723e-83,2.239503456133369e-77,False
S0_total,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log,70.45098105062496,81.60094802175315,213008.70705079503,227938.89027083095,84.09171562902257,0.2341235830988115,0.0,False
S0_total,"SARIMA(2,1,1)(1,1,0,12)","{'orden': (2, 1, 1), 'orden_estacional': (1, 1, 0, 12), 'tendencia': None}",log,62.79914170208074,76.73660041599096,222189.3220373248,241913.77381685204,84.57067110165157,0.4112436926690415,0.0,False
S1_la_aurora,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,207.0270290668168,215.9364689655448,33049.417474794594,38249.07393218434,33.081138001020136,0.0744607696554532,0.0,True
S1_la_aurora,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,206.0726559672155,212.0122825663675,33467.501246755586,38659.13147845773,33.42113821302036,0.0613137503470984,0.0,False
S1_la_aurora,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,206.84739243817543,212.80085992301665,34250.38658509929,39443.895860539546,34.14410925316587,0.0605838077962762,0.0,False
S1_la_aurora,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,36821.786047759815,42053.31786869305,36.56306279620979,2.6193147614531563e-19,0.0729958377916646,False
S1_la_aurora,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,38903.90608415798,42886.686324522765,39.492142682729344,0.2645085554758339,0.0,False
S1_la_aurora,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,45973.05693049481,50962.92803636545,47.47482853783632,2.06857865508614e-79,8.507890528300065e-22,False
S1_la_aurora,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log,187.10721652293665,198.2571834940648,68210.15870489168,72421.31031108662,71.99348842744712,0.0301891939707716,0.0,False
S1_la_aurora,"auto_arima(1, 0, 1)x(1, 0, 1, 12)","{'orden': (1, 0, 1), 'orden_estacional': (1, 0, 1, 12), 'tendencia': None}",log,189.57422504425045,204.02597068535923,71902.88356728223,75900.74382907838,76.28927874821917,0.031740601816627,0.0,False
S1_la_aurora,Seasonal Naive,{'rezago': 12},ninguna,,,75518.44036960739,79320.75972667034,81.47749325639356,2.292959091883028e-87,2.170201703942756e-94,False
S2_valle_nuevo,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,16803.85136918256,23186.82186561063,157.64462957504745,2.5639162673737607e-76,2.6215533771030536e-12,True
S2_valle_nuevo,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,35209.78099498713,38091.010105654364,85.4326865036248,0.8811793807407882,2.314697406019012e-56,False
S2_valle_nuevo,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,40769.915380137536,45662.777695940415,79.96628352256985,2.2219860388389288e-10,0.0002893295831714,False
S2_valle_nuevo,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,330.7409696617565,336.69443714659764,41024.48224919775,45933.38052060028,80.10763401165876,0.0138557131964151,0.0,False
S2_valle_nuevo,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,327.5545112976401,333.4941378967921,41313.68868817139,46240.12100877876,80.30110363778734,0.0495591650100309,0.0,False
S2_valle_nuevo,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,329.49962016423854,338.40906006296655,41518.9726868661,46452.17517892223,80.51792944650813,0.0552119770442353,0.0,False
S2_valle_nuevo,"auto_arima(1, 0, 1)x(0, 0, 0, 12)","{'orden': (1, 0, 1), 'orden_estacional': (0, 0, 0, 12), 'tendencia': None}",log,330.9773404394679,339.9075416667296,43693.084599588496,48726.17291198593,84.8307356183842,0.0493657492116594,0.0,False
S2_valle_nuevo,Seasonal Naive,{'rezago': 12},ninguna,,,44707.2302882751,49660.58809058914,91.3851744547971,3.8691433307175986e-69,1.2034857957407616e-32,False
S2_valle_nuevo,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log,303.09429998318643,314.24426695431464,47115.32204194047,51805.57702095117,96.9597636102893,0.1893552193729277,0.0,False
S3_san_cristobal,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,7723.294813509721,10437.106854494128,146.89122886290173,1.7396523529210554e-53,2.114522987550677e-05,True
S3_san_cristobal,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,20483.073870409327,23091.478420641142,80.02690207148507,9.718372064836808e-07,3.065996927040201e-05,False
S3_san_cristobal,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,274.71712775110603,280.6705952359472,20896.643041710617,23543.50565921661,80.25787948581275,0.0331626169639036,0.0,False
S3_san_cristobal,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,273.9592557685739,282.8686956673019,21067.408920111706,23694.353773875155,81.86535958672339,0.0398986819599015,0.0,False
S3_san_cristobal,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,274.7364571318314,280.6760837309834,21094.28881313974,23732.06552702759,81.58993669287278,0.0459909705605339,0.0,False
S3_san_cristobal,Seasonal Naive,{'rezago': 12},ninguna,,,21407.95065860628,24052.52379942494,86.22656706406914,2.907281833697512e-44,4.924458788182458e-21,False
S3_san_cristobal,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,22180.15366201621,24610.987880977907,94.07794970543884,0.007205314319405,2.4836722400519773e-31,False
