serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S4_el_salvador,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,53080.98060315366,59455.03584323925,87.91779875271409,9.879282742768754e-71,2.2274515446342937e-10,True
S4_el_salvador,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,451.53217352399383,457.47180012314584,81334.9631041382,92860.43129760982,75.1941104763087,0.00022468344934594247,0.0,False
S4_el_salvador,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,453.92663314046473,459.8801006253059,81349.56017830172,92876.19552466327,75.20075233719457,0.00025472168162191713,0.0,False
S4_el_salvador,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,83700.94318925285,93737.49357257337,82.58932484033588,0.8862046445758781,7.252636238155482e-34,False
S4_el_salvador,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,83976.94577892506,95466.69798434331,78.03588285048315,1.717652743010315e-15,3.949531187952735e-05,False
S4_el_salvador,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,445.4848584316479,454.39429833037593,85430.97674265236,96712.16617623669,82.74560133063858,0.00044913739765865124,0.0,False
S4_el_salvador,Seasonal Naive,{'rezago': 12},ninguna,,,91662.09301661386,102198.52032069024,94.05316883049674,3.3043844700289964e-66,1.7067444364637326e-59,False
S4_el_salvador,"ARIMA(1,0,0)","{'orden': (1, 0, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,455.67204634720633,461.639259590623,91559.83067762824,103512.45057891692,86.3647271782312,0.0001709049125836195,0.0,False
S4_el_salvador,"auto_arima(2, 0, 2)x(0, 0, 0, 12)","{'orden': (2, 0, 2), 'orden_estacional': (0, 0, 0, 12), 'tendencia': None}",log1p,444.60460645578894,459.45367295366896,93782.13026324882,104802.07384645879,93.37799799655647,0.0026081702328998885,0.0,False
S4_el_salvador,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log1p,393.98978142118835,405.13974839231656,1307116283.8541574,8817305745.365875,1180793.5955463357,0.001452755048054314,0.0,False
S5_estados_unidos,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,431.90737008676774,440.81680998549575,22974.834123084067,26793.523998260593,47.08236987646559,0.0014992519356016392,0.0,True
S5_estados_unidos,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,432.04483960239094,437.9983070872321,23442.423868573776,27251.70836370503,47.91011948308882,0.0012921893996910771,0.0,False
S5_estados_unidos,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,430.0750548382434,436.0146814373954,23617.57510521109,27423.396810251856,48.21264916684721,0.001331148959302369,0.0,False
S5_estados_unidos,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,30361.506378133574,34043.51181631086,61.31436300699165,3.882467746766739e-58,2.5309418379543656e-46,False
S5_estados_unidos,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,31256.74005070881,34100.70808772678,65.24477329518692,0.4530320869815958,3.9195967050095975e-186,False
S5_estados_unidos,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,32301.536141048193,36173.884129282764,64.28411010512977,3.436354000354348e-23,0.5806836003459579,False
S5_estados_unidos,"auto_arima(0, 1, 0)x(0, 1, 0, 12)","{'orden': (0, 1, 0), 'orden_estacional': (0, 1, 0, 12), 'tendencia': None}",log1p,401.65846215546605,404.5488112836878,34754.97884264004,38984.73982381544,77.7775763270844,0.0001055177951424545,0.0,False
S5_estados_unidos,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log1p,376.88233587750705,388.03230284863525,36709.264865751764,40429.45233459588,78.86094553410607,0.00023379122200773615,0.0,False
S5_estados_unidos,Seasonal Naive,{'rezago': 12},ninguna,,,40733.3470426588,43733.35991091356,88.68617199202392,1.2975993467527059e-67,1.5188480380446165e-134,False
S6_guatemala,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log1p,13.418330827962734,24.568297799090917,27316.8366313953,47260.24579783955,66.21698873162262,0.065331877320245,0.0,True
S6_guatemala,"ARIMA(1,1,0)","{'orden': (1, 1, 0), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,43.40894600369658,49.362413488537726,37863.474635905884,47345.6102554489,52.71556848069772,4.350726795603053e-06,1.2993758854963378e-220,False
S6_guatemala,"ARIMA(0,1,1)","{'orden': (0, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,42.27950089508023,48.21912749423223,38003.36739869195,47358.084619366346,52.373850803342236,1.8459945735802484e-05,2.8252522330439548e-168,False
S6_guatemala,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,38141.15006405391,47372.94199106028,52.03867308450294,5.979417294483727e-13,0.00022480398820531956,False
S6_guatemala,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,38.662968274274526,47.57240817300253,38591.90476998195,47439.93102486765,51.24027621683898,0.002451683739935083,2.623202372264273e-167,False
S6_guatemala,"auto_arima(1, 0, 1)x(1, 0, 1, 12)","{'orden': (1, 0, 1), 'orden_estacional': (1, 0, 1, 12), 'tendencia': None}",log1p,2.266225004916123,16.71797064602489,26049.661183698063,48042.47579415094,68.23402912710874,0.02680786175009073,0.0,False
S6_guatemala,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,39202.94567142692,48055.84808600285,48.43185609662172,0.16530752719223454,1.681163402316189e-161,False
S6_guatemala,Seasonal Naive,{'rezago': 12},ninguna,,,35468.90873015873,49723.64554920901,70.08089675591292,1.0119142879647679e-80,1.9179578456103097e-70,False
S6_guatemala,"SARIMA(2,1,1)(1,1,0,12)","{'orden': (2, 1, 1), 'orden_estacional': (1, 1, 0, 12), 'tendencia': None}",log1p,10.47493923728886,24.41239795119909,24439.691648084638,50303.04894410546,67.07327471999383,0.21275318107504765,0.0,False
S6_guatemala,Prophet,"{'crecimiento': 'linear', 'estacionalidad_anual': True, 'modo_estacional': 'additive'}",ninguna,,,48592.78278642914,50809.959092670215,80.14649494953586,1.2258678042302889e-71,2.950024488492222e-07,False
