serie,modelo,parametros,transformacion,AIC,BIC,MAE,RMSE,MAPE,Ljung_Box_p,Jarque_Bera_p,mejor_modelo
S0_total,Prophet,"{'estacionalidad_anual': True, 'modo_estacional': 'aditivo'}",ninguna,,,132304.357769672,139548.64320989547,60.88743410092474,8.627750708661812e-76,4.0843198126553085e-11,True
S0_total,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log,92.36440459509622,101.27384449382421,154872.62480344114,169524.19014539607,59.30134441733116,0.08238723019908915,0.0,False
S0_total,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,165372.54140774175,180598.2335333725,62.90591307213194,2.6076109044549456e-14,5.208458217082098e-10,False
S0_total,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,176500.80090134896,189319.95942809267,69.17027062228186,0.7867057122445775,2.5360710863028134e-286,False
S0_total,"auto_arima(2, 0, 0)x(1, 0, 1, 12)","{'orden': (2, 0, 0), 'orden_estacional': (1, 0, 1, 12), 'tendencia': None}",log,66.50456608805962,80.95631172916838,183941.8071702022,198149.81923976546,72.24644973246146,0.27679612740334475,0.0,False
S0_total,Seasonal Naive,{'rezago': 12},ninguna,,,207321.6373958207,219663.86935700072,84.91040612875624,9.062573905602725e-83,2.2395034561333692e-77,False
S0_total,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log,70.45098105062496,81.60094802175315,213008.70705079503,227938.89027083098,84.09171562902257,0.23412358309881154,0.0,False
S0_total,"SARIMA(2,1,1)(1,1,0,12)","{'orden': (2, 1, 1), 'orden_estacional': (1, 1, 0, 12), 'tendencia': None}",log,62.79914170208074,76.73660041599096,222189.3220373248,241913.77381685204,84.57067110165157,0.41124369266904154,0.0,False
S5_estados_unidos,"ARIMA(1,1,1)","{'orden': (1, 1, 1), 'orden_estacional': (0, 0, 0, 0), 'tendencia': None}",log1p,431.90737008676774,440.81680998549575,22974.834123084067,26793.523998260593,47.08236987646559,0.0014992519356016392,0.0,True
S5_estados_unidos,Prophet,"{'estacionalidad_anual': True, 'modo_estacional': 'aditivo'}",ninguna,,,30361.506378133574,34043.51181631086,61.31436300699165,3.882467746766739e-58,2.5309418379543656e-46,False
S5_estados_unidos,Holt-Winters,"{'tendencia': 'aditiva amortiguada', 'estacionalidad': 'aditiva', 'periodo': 12}",ninguna,,,31256.74005070881,34100.70808772678,65.24477329518692,0.4530320869815958,3.9195967050095975e-186,False
S5_estados_unidos,Suavizamiento exponencial simple,"{'tendencia': None, 'estacionalidad': None}",ninguna,,,32301.536141048193,36173.884129282764,64.28411010512977,3.436354000354348e-23,0.5806836003459579,False
S5_estados_unidos,"auto_arima(0, 1, 0)x(0, 1, 0, 12)","{'orden': (0, 1, 0), 'orden_estacional': (0, 1, 0, 12), 'tendencia': None}",log1p,401.65846215546605,404.5488112836878,34754.97884264004,38984.73982381544,77.7775763270844,0.0001055177951424545,0.0,False
S5_estados_unidos,"SARIMA(1,1,1)(0,1,1,12)","{'orden': (1, 1, 1), 'orden_estacional': (0, 1, 1, 12), 'tendencia': None}",log1p,376.88233587750705,388.03230284863525,36709.264865751764,40429.45233459588,78.86094553410607,0.00023379122200773615,0.0,False
S5_estados_unidos,Seasonal Naive,{'rezago': 12},ninguna,,,40733.3470426588,43733.35991091356,88.68617199202392,1.2975993467527059e-67,1.5188480380446165e-134,False
S5_estados_unidos,"SARIMA(2,1,1)(1,1,0,12)","{'orden': (2, 1, 1), 'orden_estacional': (1, 1, 0, 12), 'tendencia': None}",log1p,366.8653424672629,380.80280118117315,229357404962543.16,1366730585787035.0,337746008657.0401,0.003114486290883294,0.0,False
