fecha,serie,modelo,observado,pronostico
2021-04-01,S1_la_aurora,"ARIMA(1,1,0)",33042.102901499005,61737.987333861274
2021-05-01,S1_la_aurora,"ARIMA(1,1,0)",58366.0,61942.84486519674
2021-06-01,S1_la_aurora,"ARIMA(1,1,0)",73409.0,61956.81784330627
2021-07-01,S1_la_aurora,"ARIMA(1,1,0)",70338.0,61957.76934642028
2021-08-01,S1_la_aurora,"ARIMA(1,1,0)",50329.0,61957.83413264885
2021-09-01,S1_la_aurora,"ARIMA(1,1,0)",45550.99999999996,61957.8385437992
2021-10-01,S1_la_aurora,"ARIMA(1,1,0)",58214.0,61957.838844144455
2021-11-01,S1_la_aurora,"ARIMA(1,1,0)",68341.0,61957.83886459434
2021-12-01,S1_la_aurora,"ARIMA(1,1,0)",122055.0,61957.838865986705
2022-01-01,S1_la_aurora,"ARIMA(1,1,0)",97425.0,61957.83886608146
2022-02-01,S1_la_aurora,"ARIMA(1,1,0)",80430.0,61957.83886608796
2022-03-01,S1_la_aurora,"ARIMA(1,1,0)",106039.0,61957.838866088394
2022-04-01,S1_la_aurora,"ARIMA(1,1,0)",120691.0,61957.838866088394
2022-05-01,S1_la_aurora,"ARIMA(1,1,0)",111743.0,61957.838866088394
2022-06-01,S1_la_aurora,"ARIMA(1,1,0)",123396.0,61957.838866088394
2022-07-01,S1_la_aurora,"ARIMA(1,1,0)",124569.0,61957.838866088394
2022-08-01,S1_la_aurora,"ARIMA(1,1,0)",108814.0,61957.838866088394
2022-09-01,S1_la_aurora,"ARIMA(1,1,0)",103185.0,61957.838866088394
2022-10-01,S1_la_aurora,"ARIMA(1,1,0)",122906.0,61957.838866088394
2022-11-01,S1_la_aurora,"ARIMA(1,1,0)",131130.0,61957.838866088394
2022-12-01,S1_la_aurora,"ARIMA(1,1,0)",158073.0,61957.838866088394
2023-01-01,S1_la_aurora,"ARIMA(1,1,0)",76213.0,61957.838866088394
2023-02-01,S1_la_aurora,"ARIMA(1,1,0)",75139.0,61957.838866088394
2023-03-01,S1_la_aurora,"ARIMA(1,1,0)",92427.0,61957.838866088394
2023-04-01,S1_la_aurora,"ARIMA(1,1,0)",79177.0,61957.838866088394
2023-05-01,S1_la_aurora,"ARIMA(1,1,0)",71800.0,61957.838866088394
2023-06-01,S1_la_aurora,"ARIMA(1,1,0)",87748.0,61957.838866088394
2023-07-01,S1_la_aurora,"ARIMA(1,1,0)",98942.0,61957.838866088394
2023-08-01,S1_la_aurora,"ARIMA(1,1,0)",79084.0,61957.838866088394
2023-09-01,S1_la_aurora,"ARIMA(1,1,0)",67300.0,61957.838866088394
2023-10-01,S1_la_aurora,"ARIMA(1,1,0)",59320.0,61957.838866088394
2023-11-01,S1_la_aurora,"ARIMA(1,1,0)",89115.0,61957.838866088394
2023-12-01,S1_la_aurora,"ARIMA(1,1,0)",108287.0,61957.838866088394
2024-01-01,S1_la_aurora,"ARIMA(1,1,0)",95943.0,61957.838866088394
2024-02-01,S1_la_aurora,"ARIMA(1,1,0)",98780.0,61957.838866088394
2024-03-01,S1_la_aurora,"ARIMA(1,1,0)",108306.0,61957.838866088394
2024-04-01,S1_la_aurora,"ARIMA(1,1,0)",87832.0,61957.838866088394
2024-05-01,S1_la_aurora,"ARIMA(1,1,0)",87971.0,61957.838866088394
2024-06-01,S1_la_aurora,"ARIMA(1,1,0)",104432.0,61957.838866088394
2024-07-01,S1_la_aurora,"ARIMA(1,1,0)",110289.0,61957.838866088394
