fecha,serie,modelo,observado,pronostico
2021-04-01,S0_total,"ARIMA(1,1,1)",59743.1902214643,91133.86400744773
2021-05-01,S0_total,"ARIMA(1,1,1)",73873.0,89240.83334989664
2021-06-01,S0_total,"ARIMA(1,1,1)",95146.0,89808.61050705897
2021-07-01,S0_total,"ARIMA(1,1,1)",97594.66433359256,89636.68245182249
2021-08-01,S0_total,"ARIMA(1,1,1)",72327.0,89688.59408918644
2021-09-01,S0_total,"ARIMA(1,1,1)",67022.99999999996,89672.90633141762
2021-10-01,S0_total,"ARIMA(1,1,1)",83528.0,89677.64594334138
2021-11-01,S0_total,"ARIMA(1,1,1)",98578.0,89676.21388995013
2021-12-01,S0_total,"ARIMA(1,1,1)",223569.1278011966,89676.64656834262
2022-01-01,S0_total,"ARIMA(1,1,1)",134303.0,89676.51583861507
2022-02-01,S0_total,"ARIMA(1,1,1)",193903.6,89676.5553372924
2022-03-01,S0_total,"ARIMA(1,1,1)",227886.0,89676.54340315485
2022-04-01,S0_total,"ARIMA(1,1,1)",292648.0,89676.54700893666
2022-05-01,S0_total,"ARIMA(1,1,1)",260013.0,89676.54591948527
2022-06-01,S0_total,"ARIMA(1,1,1)",269366.0,89676.54624865232
2022-07-01,S0_total,"ARIMA(1,1,1)",306246.0,89676.54614919776
2022-08-01,S0_total,"ARIMA(1,1,1)",297602.0,89676.54617924702
2022-09-01,S0_total,"ARIMA(1,1,1)",246464.0,89676.546170168
2022-10-01,S0_total,"ARIMA(1,1,1)",281938.0,89676.54617291111
2022-11-01,S0_total,"ARIMA(1,1,1)",318693.0,89676.54617208228
2022-12-01,S0_total,"ARIMA(1,1,1)",400266.0,89676.5461723327
2023-01-01,S0_total,"ARIMA(1,1,1)",258166.18821264655,89676.54617225703
2023-02-01,S0_total,"ARIMA(1,1,1)",198751.85766927944,89676.54617227997
2023-03-01,S0_total,"ARIMA(1,1,1)",251839.50267324003,89676.54617227313
2023-04-01,S0_total,"ARIMA(1,1,1)",283179.2556557847,89676.5461722752
2023-05-01,S0_total,"ARIMA(1,1,1)",213191.0389184069,89676.54617227455
2023-06-01,S0_total,"ARIMA(1,1,1)",224580.17382775573,89676.54617227471
2023-07-01,S0_total,"ARIMA(1,1,1)",257626.95044792976,89676.54617227471
2023-08-01,S0_total,"ARIMA(1,1,1)",264514.08794636687,89676.54617227471
2023-09-01,S0_total,"ARIMA(1,1,1)",218486.4781049799,89676.54617227471
2023-10-01,S0_total,"ARIMA(1,1,1)",164499.38846570507,89676.54617227471
