fecha,serie,modelo,observado,pronostico
2021-04-01,S1_la_aurora,"ARIMA(1,1,1)",33042.102901499005,65215.00871984598
2021-05-01,S1_la_aurora,"ARIMA(1,1,1)",58366.0,62850.171826333026
2021-06-01,S1_la_aurora,"ARIMA(1,1,1)",73409.0,63684.5631534097
2021-07-01,S1_la_aurora,"ARIMA(1,1,1)",70338.0,63385.36760546409
2021-08-01,S1_la_aurora,"ARIMA(1,1,1)",50329.0,63492.03805947083
2021-09-01,S1_la_aurora,"ARIMA(1,1,1)",45550.99999999996,63453.92922451325
2021-10-01,S1_la_aurora,"ARIMA(1,1,1)",58214.0,63467.53391494414
2021-11-01,S1_la_aurora,"ARIMA(1,1,1)",68341.0,63462.6758265454
2021-12-01,S1_la_aurora,"ARIMA(1,1,1)",122055.0,63464.410435347716
2022-01-01,S1_la_aurora,"ARIMA(1,1,1)",97425.0,63463.791062472985
2022-02-01,S1_la_aurora,"ARIMA(1,1,1)",80430.0,63464.01221791922
2022-03-01,S1_la_aurora,"ARIMA(1,1,1)",106039.0,63463.93325104535
2022-04-01,S1_la_aurora,"ARIMA(1,1,1)",120691.0,63463.96144731087
2022-05-01,S1_la_aurora,"ARIMA(1,1,1)",111743.0,63463.95137942057
2022-06-01,S1_la_aurora,"ARIMA(1,1,1)",123396.0,63463.95497430778
2022-07-01,S1_la_aurora,"ARIMA(1,1,1)",124569.0,63463.95369070069
2022-08-01,S1_la_aurora,"ARIMA(1,1,1)",108814.0,63463.95414903133
2022-09-01,S1_la_aurora,"ARIMA(1,1,1)",103185.0,63463.95398537762
2022-10-01,S1_la_aurora,"ARIMA(1,1,1)",122906.0,63463.954043812606
2022-11-01,S1_la_aurora,"ARIMA(1,1,1)",131130.0,63463.95402294757
2022-12-01,S1_la_aurora,"ARIMA(1,1,1)",158073.0,63463.95403039775
2023-01-01,S1_la_aurora,"ARIMA(1,1,1)",76213.0,63463.95402773755
2023-02-01,S1_la_aurora,"ARIMA(1,1,1)",75139.0,63463.95402868745
2023-03-01,S1_la_aurora,"ARIMA(1,1,1)",92427.0,63463.954028348344
2023-04-01,S1_la_aurora,"ARIMA(1,1,1)",79177.0,63463.95402846942
2023-05-01,S1_la_aurora,"ARIMA(1,1,1)",71800.0,63463.95402842613
2023-06-01,S1_la_aurora,"ARIMA(1,1,1)",87748.0,63463.95402844158
2023-07-01,S1_la_aurora,"ARIMA(1,1,1)",98942.0,63463.95402843605
2023-08-01,S1_la_aurora,"ARIMA(1,1,1)",79084.0,63463.95402843797
2023-09-01,S1_la_aurora,"ARIMA(1,1,1)",67300.0,63463.95402843729
2023-10-01,S1_la_aurora,"ARIMA(1,1,1)",59320.0,63463.95402843752
2023-11-01,S1_la_aurora,"ARIMA(1,1,1)",89115.0,63463.9540284374
2023-12-01,S1_la_aurora,"ARIMA(1,1,1)",108287.0,63463.9540284374
2024-01-01,S1_la_aurora,"ARIMA(1,1,1)",95943.0,63463.9540284374
2024-02-01,S1_la_aurora,"ARIMA(1,1,1)",98780.0,63463.9540284374
2024-03-01,S1_la_aurora,"ARIMA(1,1,1)",108306.0,63463.9540284374
2024-04-01,S1_la_aurora,"ARIMA(1,1,1)",87832.0,63463.9540284374
2024-05-01,S1_la_aurora,"ARIMA(1,1,1)",87971.0,63463.9540284374
2024-06-01,S1_la_aurora,"ARIMA(1,1,1)",104432.0,63463.9540284374
2024-07-01,S1_la_aurora,"ARIMA(1,1,1)",110289.0,63463.9540284374
2024-08-01,S1_la_aurora,"ARIMA(1,1,1)",88601.0,63463.9540284374
2024-09-01,S1_la_aurora,"ARIMA(1,1,1)",69259.0,63463.9540284374
2024-10-01,S1_la_aurora,"ARIMA(1,1,1)",81163.0,63463.9540284374
2024-11-01,S1_la_aurora,"ARIMA(1,1,1)",97101.0,63463.9540284374
2024-12-01,S1_la_aurora,"ARIMA(1,1,1)",112947.0,63463.9540284374
